,1st Measurement,,,,,2nd Measurement,,,,,Average,,,,,Diff,,,
Name,Northing,Easting,Orthometric Height,Ellipsoidal Height,,Northing,Easting,Orthometric Height,Ellipsoidal Height,,Northing,Easting,Orthometric Height,Ellipsoidal Height,,Dy,Dx,Dz,
GCP01,1527234.402,679471.773,1.830,-28.270,,1527234.415,679471.782,1.825,-28.275,,1527234.408,679471.777,1.827,-28.273,,-0.013,-0.009,0.005,
GCP02,1527384.829,679885.954,1.604,-28.484,,1527384.825,679885.956,1.607,-28.481,,1527384.827,679885.955,1.605,-28.482,,0.004,-0.002,-0.003,
GCP03,1527515.105,680265.197,1.374,-28.702,,1527515.106,680265.197,1.362,-28.714,,1527515.106,680265.197,1.368,-28.708,,-0.001,0.000,0.013,
GCP04,1527698.097,680677.419,1.565,-28.499,,1527698.103,680677.419,1.567,-28.498,,1527698.100,680677.419,1.566,-28.499,,-0.005,0.000,-0.001,
GCP05,1527766.596,681193.955,1.639,-28.410,,1527766.599,681193.959,1.635,-28.414,,1527766.597,681193.957,1.637,-28.412,,-0.002,-0.004,0.004,
GCP06,1527696.749,681222.930,1.488,-28.558,,1527696.743,681222.917,1.470,-28.577,,1527696.746,681222.923,1.479,-28.567,,0.006,0.014,0.019,
GCP07,1527597.890,680734.243,1.601,-28.461,,1527597.895,680734.242,1.584,-28.477,,1527597.892,680734.242,1.593,-28.469,,-0.005,0.002,0.016,
GCP08,1527490.313,680268.136,1.379,-28.697,,1527490.313,680268.131,1.369,-28.707,,1527490.313,680268.134,1.374,-28.702,,0.000,0.005,0.010,
GCP09,1527356.882,679883.580,1.638,-28.449,,1527356.883,679883.583,1.639,-28.449,,1527356.883,679883.581,1.638,-28.449,,-0.001,-0.003,-0.001,
GCP10,1527205.679,679468.439,1.776,-28.323,,1527205.684,679468.431,1.782,-28.318,,1527205.682,679468.435,1.779,-28.321,,-0.006,0.008,-0.005,
GCP11,1527033.095,679095.990,1.390,-28.721,,1527033.101,679095.989,1.363,-28.747,,1527033.098,679095.989,1.376,-28.734,,-0.006,0.001,0.026,
GCP12,1527065.832,678666.386,1.233,-28.894,,1527065.838,678666.400,1.240,-28.886,,1527065.835,678666.393,1.236,-28.890,,-0.006,-0.014,-0.008,
GCP13,1527259.307,678391.348,0.553,-29.586,,1527259.304,678391.334,0.536,-29.603,,1527259.305,678391.341,0.544,-29.595,,0.003,0.014,0.017,
GCP14,1527288.583,678411.531,0.786,-29.352,,1527288.595,678411.534,0.778,-29.361,,1527288.589,678411.533,0.782,-29.356,,-0.012,-0.003,0.008,
GCP15,1527097.767,678679.554,1.297,-28.829,,1527097.758,678679.553,1.268,-28.858,,1527097.762,678679.553,1.283,-28.844,,0.009,0.000,0.029,
GCP16,1527055.660,679087.579,1.436,-28.675,,1527055.660,679087.571,1.410,-28.702,,1527055.660,679087.575,1.423,-28.688,,0.000,0.008,0.027,
