|    |   NO | Strip          |   Speed |      E_MMS |       N_MMS |   h_MMS |      E_RTK |       N_RTK | h_RTK   |   Point_density_pnt_per_sqm |
|---:|-----:|:---------------|--------:|-----------:|------------:|--------:|-----------:|------------:|:--------|----------------------------:|
|  0 |   14 | RTSD_GCP14.las |      30 | 678411.575 | 1527288.597 |   0.785 | 678411.533 | 1527288.589 | 0.782   |                        3035 |
|  1 |   15 | RTSD_GCP15.las |      30 | 678679.593 | 1527097.774 |   1.284 | 678679.553 | 1527097.762 | 1.283   |                        1422 |
|  2 |   12 | RTSD_GCP12.las |      30 | 678666.406 | 1527065.789 |   1.246 | 678666.393 | 1527065.835 | 1.236   |                         570 |
|  3 |   16 | RTSD_GCP16.las |      30 | 679087.601 | 1527055.659 |   1.423 | 679087.575 | 1527055.660 | 1.423)  |                        1783 |
|  4 |    1 | RTSD_GCP01.las |      30 | 679471.787 | 1527234.388 |   1.830 | 679471.777 | 1527234.408 | 1.827   |                        1858 |
|  5 |    2 | RTSD_GCP02.las |      30 | 679885.987 | 1527384.846 |   1.603 | 679885.955 | 1527384.827 | 1.605   |                        1671 |
|  6 |   11 | RTSD_GCP11.las |      30 | 679095.995 | 1527033.069 |   1.377 | 679095.989 | 1527033.098 | 1.376)  |                        1722 |
|  7 |   10 | RTSD_GCP10.las |      30 | 679468.432 | 1527205.654 |   1.782 | 679468.435 | 1527205.682 | 1.779   |                        1715 |
|  8 |    9 | RTSD_GCP09.las |      30 | 679883.595 | 1527356.852 |   1.639 | 679883.581 | 1527356.883 | 1.638   |                        1943 |
|  9 |    3 | RTSD_GCP03.las |      30 | 680265.211 | 1527515.122 |   1.370 | 680265.197 | 1527515.106 | 1.368)  |                        1772 |
| 10 |    4 | RTSD_GCP04.las |      30 | 680677.404 | 1527698.115 |   1.568 | 680677.419 | 1527698.100 | 1.566)  |                        1357 |
| 11 |    8 | RTSD_GCP08.las |      30 | 680268.117 | 1527490.281 |   1.374 | 680268.134 | 1527490.313 | 1.374   |                        1638 |
| 12 |    7 | RTSD_GCP07.las |      30 | 680734.239 | 1527597.882 |   1.595 | 680734.242 | 1527597.892 | 1.593   |                        1676 |
| 13 |    5 | RTSD_GCP05.las |      30 | 681193.983 | 1527766.592 |   1.649 | 681193.957 | 1527766.597 | 1.637   |                         657 |
| 14 |    6 | RTSD_GCP06.las |      30 | 681222.949 | 1527696.704 |   1.495 | 681222.923 | 1527696.746 | 1.479   |                         669 |
point_density = 1565 pnt/sqm.
