|    |   NO | Strip                   |   Speed |      E_MMS |       N_MMS |   h_MMS |      E_RTK |       N_RTK |   h_RTK |   Point_density_pnt_per_sqm |
|---:|-----:|:------------------------|--------:|-----------:|------------:|--------:|-----------:|------------:|--------:|----------------------------:|
| 16 |   14 | 009+300_010+000_FWD.las |      60 | 678411.550 | 1527288.580 | -29.350 | 678411.533 | 1527288.589 | -29.356 |                         794 |
| 17 |   15 | 009+300_010+000_FWD.las |      60 | 678679.570 | 1527097.710 | -28.830 | 678679.553 | 1527097.762 | -28.844 |                         712 |
| 18 |   12 | 009+300_010+000_REV.las |      60 | 678666.480 | 1527065.830 | -28.890 | 678666.393 | 1527065.835 | -28.890 |                         388 |
| 19 |   16 | 010+000_011+000_FWD.las |      60 | 679087.600 | 1527055.640 | -28.670 | 679087.575 | 1527055.660 | -28.688 |                         883 |
| 20 |    1 | 010+000_011+000_FWD.las |      60 | 679471.800 | 1527234.380 | -28.260 | 679471.777 | 1527234.408 | -28.273 |                         463 |
| 21 |    2 | 010+000_011+000_FWD.las |      60 | 679885.980 | 1527384.830 | -28.480 | 679885.955 | 1527384.827 | -28.482 |                         876 |
| 22 |   11 | 010+000_011+000_REV.las |      60 | 679095.960 | 1527033.120 | -28.720 | 679095.989 | 1527033.098 | -28.734 |                        1109 |
| 23 |   10 | 010+000_011+000_REV.las |      60 | 679468.340 | 1527205.650 | -28.320 | 679468.435 | 1527205.682 | -28.321 |                         961 |
| 24 |    9 | 010+000_011+000_REV.las |      60 | 679883.670 | 1527356.900 | -28.460 | 679883.581 | 1527356.883 | -28.449 |                         960 |
| 25 |    3 | 011+000_012+000_FWD.las |      60 | 680265.190 | 1527515.100 | -28.700 | 680265.197 | 1527515.106 | -28.708 |                         947 |
| 26 |    4 | 011+000_012+000_FWD.las |      60 | 680677.360 | 1527698.030 | -28.510 | 680677.419 | 1527698.100 | -28.499 |                         975 |
| 27 |    8 | 011+000_012+000_REV.las |      60 | 680268.190 | 1527490.330 | -28.680 | 680268.134 | 1527490.313 | -28.702 |                         841 |
| 28 |    7 | 011+000_012+000_REV.las |      60 | 680734.270 | 1527597.890 | -28.460 | 680734.242 | 1527597.892 | -28.469 |                         918 |
| 29 |    5 | 012+000_012+419_FWD.las |      60 | 681193.940 | 1527766.550 | -28.390 | 681193.957 | 1527766.597 | -28.412 |                         351 |
| 30 |    6 | 012+000_012+407_REV.las |      60 | 681222.880 | 1527696.760 | -28.560 | 681222.923 | 1527696.746 | -28.567 |                         333 |
point_density = 767 pnt/sqm.
